category_name,group,group_alias,variable_name,group_level_total,level_value,data_source
Race/ethnicity,AIAN,AIAN,chi_race_aic_aian,1,1,hys
Detailed Asian race/ethnicity,Cambodian/Khmer,Cambodian/Khmer,chi_race_aic_cambodian,1,1,hys
Detailed Asian race/ethnicity,Chinese,Chinese,chi_race_aic_chinese,1,1,hys
Detailed Asian race/ethnicity,Filipino,Filipino,chi_race_aic_filipino,1,1,hys
Detailed Asian race/ethnicity,Asian Indian,Asian Indian,chi_race_aic_indian,1,1,hys
Detailed Asian race/ethnicity,Japanese,Japanese,chi_race_aic_japanese,1,1,hys
Detailed Asian race/ethnicity,Korean,Korean,chi_race_aic_korean,1,1,hys
Detailed Asian race/ethnicity,Asian - other,Asian - other,chi_race_aic_asianother,1,1,hys
Detailed Asian race/ethnicity,Vietnamese,Vietnamese,chi_race_aic_vietnamese,1,1,hys
Race/ethnicity,Asian,Asian,chi_race_aic_asian,1,1,hys
Race/ethnicity,Black,Black,chi_race_aic_black,1,1,hys
Grade level,Grade 10,Grade 10,chi_grade_orig,3,10,hys
Grade level,Grade 12,Grade 12,chi_grade_orig,3,12,hys
Grade level,Grade 8,Grade 8,chi_grade_orig,3,8,hys
Race/ethnicity,Hispanic,Hispanic,chi_race_aic_his,1,1,hys
Race/ethnicity,NHPI,NHPI,chi_race_aic_nhpi,1,1,hys
Race/ethnicity,Other,Other,chi_race_aic_oth,1,1,hys
Race/ethnicity,AIAN,AIAN,chi_race_eth8,8,AIAN,hys
Race/ethnicity,Asian,Asian,chi_race_eth8,8,Asian,hys
Race/ethnicity,Black,Black,chi_race_eth8,8,Black,hys
Race/ethnicity,Hispanic,Hispanic,chi_race_eth8,8,Hispanic,hys
Race/ethnicity,Multiple,Multiple,chi_race_eth8,8,Multiple,hys
Race/ethnicity,NHPI,NHPI,chi_race_eth8,8,NHPI,hys
Race/ethnicity,Other,Other,chi_race_eth8,8,Other,hys
Race/ethnicity,White,White,chi_race_eth8,8,White,hys
Gender,Female,Female,chi_sex,2,Female,hys
Gender,Male,Male,chi_sex,2,Male,hys
Sexual orientation,Heterosexual,Heterosexual,chi_sexorien_3,3,Heterosexual,hys
Sexual orientation,LGB+,LGB+,chi_sexorien_3,3,LGB+,hys
Sexual orientation,Not sure,Not sure,chi_sexorien_3,3,Not sure,hys
Race/ethnicity,White,White,chi_race_aic_wht,1,1,hys
Regions,East,East,chi_geo_region,4,East,hys
Regions,North,North,chi_geo_region,4,North,hys
Regions,Seattle,Seattle,chi_geo_region,4,Seattle,hys
Regions,South,South,chi_geo_region,4,South,hys
King County,King County,King County,chi_geo_kc,1,1,hys
