"group","group_alias","notes"
"Beacon/Gtown/S.Park","Beacon/Georgetown/South Park",NA
"Bellevue-NE","Bellevue-Northeast",NA
"Black Diamond/Enumclaw/SE County","Black Diamond/Enumclaw/Southeast County",NA
"Capitol Hill/E.lake","Capitol Hill/Eastlake",NA
"Fed Way-Central/Military Rd","Federal Way-Central/Military Rd",NA
"Fed Way-Dash Pt","Federal Way-Dash Point/Woodmont",NA
"Kenmore/LFP","Kenmore/Lake Forest Park",NA
"Kent-SE","Kent-Southeast",NA
"Mercer Isle/Pt Cities","Mercer Island/Point Cities",NA
"NE Seattle","Northeast Seattle",NA
"NW Seattle","Northwest Seattle",NA
"QA/Magnolia","Queen Anne/Magnolia",NA
"SE Seattle","Southeast Seattle",NA
